[2023-03-31 18:43:03] START
[2023-03-31 18:43:03] EDIT welcome/controllers/default.py: 0
[2023-04-04 22:09:10] CREATE form.py: 0
[2023-04-04 22:09:32] EDIT welcome/controllers/form.py: 3
[2023-04-04 22:09:41] EDIT welcome/views/form/Hellow.html: 0
[2023-04-05 03:17:28] EDIT webProject/views/form/register.html: 0
[2023-04-05 11:46:39] EDIT webProject/controllers/form.py: 0
[2023-04-05 11:46:48] EDIT webProject/views/form/register.html: 0
[2023-04-05 13:23:40] EDIT webProject/views/page/addcourses.html: -21
[2023-04-05 13:24:05] EDIT webProject/views/page/showcourses.html: -21
[2023-04-09 00:49:40] EDIT webProject/views/form/Hellow.html: 1
[2023-04-09 01:29:18] CREATE layout2.html: 0
[2023-04-09 01:29:29] EDIT webProject/views/layout2.html: -1
[2023-04-12 22:44:39] EDIT webProject/views/default/index.html: 0
[2023-04-13 00:57:06] EDIT webProject/views/default/index.html: 0
[2023-04-13 01:11:06] EDIT webProject/controllers/form.py: 0
[2023-04-13 01:11:10] EDIT webProject/controllers/form.py: 0
[2023-04-13 01:11:20] EDIT webProject/controllers/form.py: -1
[2023-04-13 01:11:22] EDIT webProject/controllers/form.py: 0
[2023-04-13 01:11:25] EDIT webProject/controllers/form.py: 0
[2023-04-13 01:11:52] EDIT webProject/controllers/form.py: 0
[2023-04-13 01:15:21] EDIT webProject/controllers/form.py: -1
[2023-04-13 01:19:03] EDIT webProject/views/form/addcourses.html: 0
[2023-04-13 01:48:24] EDIT webProject/controllers/form.py: -1
[2023-04-13 01:48:33] EDIT webProject/controllers/form.py: 0
[2023-04-13 01:49:09] EDIT webProject/controllers/form.py: 0
[2023-04-13 01:51:42] EDIT webProject/controllers/form.py: 0
[2023-04-13 01:52:08] EDIT webProject/controllers/form.py: 0
[2023-04-13 01:53:09] EDIT webProject/controllers/form.py: 0
[2023-04-13 01:54:06] EDIT webProject/controllers/form.py: 0
[2023-04-13 02:17:04] EDIT webProject/controllers/page.py: -1
[2023-04-13 02:29:56] EDIT webProject/controllers/page.py: -4
[2023-04-13 02:30:11] EDIT webProject/controllers/page.py: 1
[2023-05-08 16:17:47] EDIT webProject/controllers/regcont.py: 0
